HWYN,HWNum,OptYN,OptNum,MinYN,MinNum,MajYN,MajNum,MajWeek
Yes,1,Yes,1,No,0,No,0,0
No,0,Yes,3,No,0,No,0,1
No,0,Yes,2,No,0,No,0,3
Yes,2,Yes,5,Yes,1,No,0,2
Yes,3,Yes,3,No,0,No,0,0
Yes,2,No,0,No,0,No,0,0
Yes,1,Yes,2,No,0,No,0,3
Yes,2,Yes,1,No,0,No,0,2
Yes,2,No,0,Yes,1,No,0,2
Yes,2,Yes,1,No,0,No,0,0
Yes,3,Yes,4,No,0,No,0,3
Yes,2,No,0,No,0,No,0,0
No,1,Yes,1,No,1,No,0,2
No,1,No,0,No,0,No,0,2
No,0,No,0,No,0,No,0,1
Yes,1,Yes,3,No,0,No,0,0
Yes,1,Yes,3,No,0,No,0,1
No,0,Yes,4,No,0,No,0,0
Yes,1,Yes,3,No,0,No,0,0
No,0,Yes,1,Yes,1,No,0,2
Yes,1,No,1,No,0,No,0,1
No,,Yes,4,No,0,No,0,3
Yes,2,Yes,4,No,0,No,0,2
Yes,1,Yes,4,No,0,No,0,2
Yes,3,Yes,2,No,0,Yes,1,1
No,0,No,0,No,0,No,0,1
No,0,Yes,3,No,0,No,0,1
No,0,Yes,2,No,0,Yes,2,2
No,0,Yes,2,No,0,No,0,0
Yes,1,Yes,2,Yes,2,No,0,1
Yes,3,Yes,1,No,0,No,0,0
No,0,Yes,4,Yes,1,No,0,0
No,0,Yes,3,Yes,1,No,0,0
No,0,Yes,2,No,0,No,0,0
No,0,Yes,1,No,0,No,0,4
Yes,2,No,0,No,0,No,0,3
Yes,2,Yes,4,No,0,Yes,1,2
Yes,3,Yes,1,No,0,No,0,2
No,0,Yes,2,No,0,No,0,1
Yes,2,Yes,6,No,0,No,0,0
Yes,3,Yes,5,Yes,1,No,0,6
No,0,Yes,5,No,0,No,0,1
No,0,No,0,No,0,No,0,0
Yes,2,No,0,No,0,No,0,3
No,0,Yes,3,No,0,No,0,0
Yes,2,Yes,2,Yes,1,No,0,2
No,0,No,0,No,0,No,0,0
No,0,Yes,3,No,0,Yes,1,2
No,0,No,0,Yes,2,Yes,2,5
Yes,2,Yes,3,No,0,No,0,3
No,0,Yes,1,No,0,No,0,3
Yes,1,No,0,No,0,No,0,0
Yes,2,Yes,2,No,0,No,0,0
Yes,1,Yes,2,No,0,No,0,0
Yes,2,Yes,1,No,0,No,0,0
Yes,1,Yes,2,No,0,No,0,0
No,0,Yes,3,No,0,No,0,1
No,0,Yes,2,No,0,No,0,1
Yes,2,Yes,1,No,0,No,0,3
Yes,2,No,0,Yes,1,No,0,0
Yes,2,Yes,1,No,0,No,0,2
No,0,Yes,2,Yes,1,No,0,3
No,0,No,0,No,0,No,0,1
Yes,1,Yes,1,No,0,No,0,2
No,0,Yes,3,No,0,No,0,4
No,0,Yes,3,No,0,Yes,1,3
Yes,2,Yes,3,Yes,1,No,0,0
No,,No,,No,0,No,0,1
No,0,No,0,No,0,No,0,0
Yes,1,No,0,No,0,No,0,0
Yes,,Yes,6,No,0,No,0,4
No,0,Yes,3,No,0,No,0,3
No,0,No,0,No,0,No,0,0
Yes,1,No,,No,0,No,0,1
No,0,Yes,2,No,0,No,0,1
No,0,Yes,3,No,0,No,0,2
Yes,1,No,0,No,0,No,0,0
No,0,Yes,2,No,0,No,0,1
No,0,No,0,No,0,No,0,0
No,0,Yes,1,No,0,Yes,1,1
No,0,Yes,2,No,0,No,0,2
No,0,Yes,2,No,0,No,0,0
Yes,3,No,,No,0,Yes,1,1
Yes,0,Yes,0,No,0,No,0,3
Yes,2,No,0,No,0,Yes,1,3
Yes,2,Yes,2,No,0,No,0,0
No,0,No,0,No,0,No,0,1
No,0,Yes,1,No,0,No,0,2
No,,Yes,2,No,0,No,0,2
Yes,1,Yes,1,No,0,No,0,1
No,0,Yes,2,No,0,No,0,1
No,0,No,0,No,0,No,0,0
No,0,Yes,4,No,0,No,0,1
Yes,2,Yes,4,No,0,No,0,2
Yes,3,Yes,2,No,0,No,0,4
No,1,Yes,3,No,0,No,0,4
Yes,1,Yes,3,No,0,No,0,2
Yes,2,Yes,3,No,0,No,0,2
Yes,1,Yes,1,No,0,Yes,1,2
Yes,5,Yes,2,No,0,No,0,2
No,0,Yes,3,No,0,Yes,0,3
Yes,3,Yes,2,Yes,1,No,0,4
